,Open,High,Low,Close,Volume
2020-01-01,100.03123015335748,100.03123015335748,100.03123015335748,100.03123015335748,1000000
2020-01-02,100.36007835860148,100.36007835860148,100.36007835860148,100.36007835860148,1000000
2020-01-03,100.11506141565695,100.11506141565695,100.11506141565695,100.11506141565695,1000000
2020-01-06,99.25347936774698,99.25347936774698,99.25347936774698,99.25347936774698,1000000
2020-01-07,98.83197883760572,98.83197883760572,98.83197883760572,98.83197883760572,1000000
2020-01-08,97.88156451787906,97.88156451787906,97.88156451787906,97.88156451787906,1000000
2020-01-09,97.9697984864142,97.9697984864142,97.9697984864142,97.9697984864142,1000000
2020-01-10,99.31219560131412,99.31219560131412,99.31219560131412,99.31219560131412,1000000
2020-01-13,98.8531681595284,98.8531681595284,98.8531681595284,98.8531681595284,1000000
2020-01-14,98.26946501386958,98.26946501386958,98.26946501386958,98.26946501386958,1000000
2020-01-15,98.78031101550371,98.78031101550371,98.78031101550371,98.78031101550371,1000000
2020-01-16,99.16247920544279,99.16247920544279,99.16247920544279,99.16247920544279,1000000
2020-01-17,99.29675933194655,99.29675933194655,99.29675933194655,99.29675933194655,1000000
2020-01-20,98.40262374473157,98.40262374473157,98.40262374473157,98.40262374473157,1000000
2020-01-21,98.40335997105797,98.40335997105797,98.40335997105797,98.40335997105797,1000000
2020-01-22,99.11708268438234,99.11708268438234,99.11708268438234,99.11708268438234,1000000
2020-01-23,97.81447156489959,97.81447156489959,97.81447156489959,97.81447156489959,1000000
2020-01-24,97.39620146790988,97.39620146790988,97.39620146790988,97.39620146790988,1000000
2020-01-27,95.5737015983401,95.5737015983401,95.5737015983401,95.5737015983401,1000000
2020-01-28,94.36991475739953,94.36991475739953,94.36991475739953,94.36991475739953,1000000
2020-01-29,92.66018194660553,92.66018194660553,92.66018194660553,92.66018194660553,1000000
2020-01-30,92.47014413139539,92.47014413139539,92.47014413139539,92.47014413139539,1000000
2020-01-31,91.32587558645551,91.32587558645551,91.32587558645551,91.32587558645551,1000000
2020-02-03,91.60100789997934,91.60100789997934,91.60100789997934,91.60100789997934,1000000
2020-02-04,91.77207377759129,91.77207377759129,91.77207377759129,91.77207377759129,1000000
2020-02-05,91.62805499530562,91.62805499530562,91.62805499530562,91.62805499530562,1000000
2020-02-06,89.3494854398739,89.3494854398739,89.3494854398739,89.3494854398739,1000000
2020-02-07,88.89497095496573,88.89497095496573,88.89497095496573,88.89497095496573,1000000
2020-02-10,88.87852454492506,88.87852454492506,88.87852454492506,88.87852454492506,1000000
2020-02-11,89.0058954572251,89.0058954572251,89.0058954572251,89.0058954572251,1000000
2020-02-12,87.67068618606292,87.67068618606292,87.67068618606292,87.67068618606292,1000000
2020-02-13,87.27813781654339,87.27813781654339,87.27813781654339,87.27813781654339,1000000
2020-02-14,86.45028802838091,86.45028802838091,86.45028802838091,86.45028802838091,1000000
2020-02-17,85.77698099162518,85.77698099162518,85.77698099162518,85.77698099162518,1000000
2020-02-18,86.71272089644496,86.71272089644496,86.71272089644496,86.71272089644496,1000000
2020-02-19,86.03849942355134,86.03849942355134,86.03849942355134,86.03849942355134,1000000
2020-02-20,86.03632978645632,86.03632978645632,86.03632978645632,86.03632978645632,1000000
2020-02-21,86.82303726829204,86.82303726829204,86.82303726829204,86.82303726829204,1000000
2020-02-24,86.3423845582539,86.3423845582539,86.3423845582539,86.3423845582539,1000000
2020-02-25,86.27184114675237,86.27184114675237,86.27184114675237,86.27184114675237,1000000
2020-02-26,86.3930221492847,86.3930221492847,86.3930221492847,86.3930221492847,1000000
2020-02-27,86.47404305828886,86.47404305828886,86.47404305828886,86.47404305828886,1000000
2020-02-28,85.44062996838184,85.44062996838184,85.44062996838184,85.44062996838184,1000000
