,Close
2020-01-01,99.04087864965216
2020-01-02,98.70633178207711
2020-01-03,100.00720746312508
2020-01-06,100.23119802513136
2020-01-07,101.18362583984538
2020-01-08,101.79791546845063
2020-01-09,101.18054811837101
2020-01-10,101.75925250995732
2020-01-13,101.46761512112346
2020-01-14,101.17093485808321
2020-01-15,101.29959122321608
2020-01-16,99.78421983642859
2020-01-17,101.0037487485117
2020-01-20,100.35622414374619
2020-01-21,101.39016363182411
2020-01-22,101.55879689145306
2020-01-23,103.14517889417057
2020-01-24,102.49539581533644
2020-01-27,102.20656906181034
2020-01-28,102.58245326813471
2020-01-29,100.34874999639676
2020-01-30,101.20966343895202
2020-01-31,102.80030527192265
2020-02-03,103.98950618680543
2020-02-04,104.80558426462967
2020-02-05,104.68403295613244
2020-02-06,106.05738511585984
2020-02-07,107.22829112440166
2020-02-10,107.68146023397738
2020-02-11,107.71927183878276
2020-02-12,107.3618949798887
2020-02-13,106.07330295065145
2020-02-14,107.40582685418045
2020-02-17,105.1051469061068
2020-02-18,104.7476345385515
2020-02-19,104.95124306355011
2020-02-20,105.88518442858981
2020-02-21,107.7822882332059
2020-02-24,108.88525001496122
2020-02-25,108.60049175631123
2020-02-26,109.42382201231895
2020-02-27,108.07615787362958
2020-02-28,109.65400334059161
2020-03-02,109.51531808367815
2020-03-03,108.81030320287705
2020-03-04,108.14758306090904
2020-03-05,108.1136665430718
2020-03-06,107.72144646161598
2020-03-09,110.22048701347016
2020-03-10,109.46197040074128
2020-03-11,109.53050207002433
2020-03-12,109.5940844121104
2020-03-13,109.65794721149453
2020-03-16,109.75153573174181
2020-03-17,109.2559385600842
2020-03-18,108.65130800139022
2020-03-19,107.74715473121883
2020-03-20,106.17601307442727
2020-03-23,106.43753184975253
2020-03-24,107.51720900110082
2020-03-25,106.96555525285676
2020-03-26,106.40011924119347
2020-03-27,106.09530116918862
2020-03-30,105.638412638767
2020-03-31,104.15285159847787
2020-04-01,105.60589639672374
2020-04-02,106.10118793207842
2020-04-03,105.37790141014737
2020-04-06,105.72266814646467
2020-04-07,105.29083621961703
2020-04-08,105.09958864712898
2020-04-09,105.51364301353712
